<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AUDUSD,5,20221001,000500,0.6402000,0.6402000,0.6402000,0.6402000,1
AUDUSD,5,20221002,190000,0.6402000,0.6402000,0.6402000,0.6402000,1
AUDUSD,5,20221002,190500,0.6402000,0.6402000,0.6402000,0.6402000,5
AUDUSD,5,20221002,191000,0.6402000,0.6402000,0.6402000,0.6402000,5
AUDUSD,5,20221002,191500,0.6402000,0.6402000,0.6402000,0.6402000,5
AUDUSD,5,20221002,192000,0.6402000,0.6402000,0.6402000,0.6402000,5
AUDUSD,5,20221002,192500,0.6402000,0.6402000,0.6402000,0.6402000,5
AUDUSD,5,20221002,193000,0.6402000,0.6402000,0.6402000,0.6402000,5
AUDUSD,5,20221002,193500,0.6402000,0.6402000,0.6402000,0.6402000,5
AUDUSD,5,20221002,194000,0.6402000,0.6402000,0.6402000,0.6402000,5
AUDUSD,5,20221002,194500,0.6402000,0.6402000,0.6402000,0.6402000,5
AUDUSD,5,20221002,195000,0.6402000,0.6402000,0.6402000,0.6402000,5
AUDUSD,5,20221002,195500,0.6402000,0.6402000,0.6402000,0.6402000,5
AUDUSD,5,20221002,200000,0.6402000,0.6402000,0.6402000,0.6402000,5
AUDUSD,5,20221002,200500,0.6402000,0.6402000,0.6402000,0.6402000,5
AUDUSD,5,20221002,201000,0.6402000,0.6402000,0.6402000,0.6402000,5
AUDUSD,5,20221002,201500,0.6402000,0.6402000,0.6402000,0.6402000,5
AUDUSD,5,20221002,202000,0.6402000,0.6402000,0.6402000,0.6402000,5
AUDUSD,5,20221002,202500,0.6402000,0.6402000,0.6402000,0.6402000,5
AUDUSD,5,20221002,203000,0.6402000,0.6402000,0.6402000,0.6402000,5
AUDUSD,5,20221002,203500,0.6402000,0.6402000,0.6402000,0.6402000,5
AUDUSD,5,20221002,204000,0.6402000,0.6402000,0.6402000,0.6402000,5
AUDUSD,5,20221002,204500,0.6402000,0.6402000,0.6402000,0.6402000,5
AUDUSD,5,20221002,205000,0.6402000,0.6402000,0.6402000,0.6402000,5
AUDUSD,5,20221002,205500,0.6402000,0.6402000,0.6402000,0.6402000,5
AUDUSD,5,20221002,210000,0.6402000,0.6402000,0.6397000,0.6402000,6
AUDUSD,5,20221002,210500,0.6400000,0.6401000,0.6400000,0.6401000,2
AUDUSD,5,20221002,222000,0.6402000,0.6402000,0.6402000,0.6402000,1
AUDUSD,5,20221003,000500,0.6404100,0.6405300,0.6401000,0.6403800,100
AUDUSD,5,20221003,001000,0.6395000,0.6410500,0.6395000,0.6400000,490
AUDUSD,5,20221003,001500,0.6400900,0.6402900,0.6399500,0.6400300,240
AUDUSD,5,20221003,002000,0.6401000,0.6403200,0.6399700,0.6403100,297
AUDUSD,5,20221003,002500,0.6402400,0.6404100,0.6400000,0.6400800,479
AUDUSD,5,20221003,003000,0.6402200,0.6404000,0.6400000,0.6403300,246
AUDUSD,5,20221003,003500,0.6403300,0.6404000,0.6399000,0.6400900,355
AUDUSD,5,20221003,004000,0.6401100,0.6403700,0.6399000,0.6400500,545
AUDUSD,5,20221003,004500,0.6401800,0.6403600,0.6399000,0.6403000,277
AUDUSD,5,20221003,005000,0.6402800,0.6404700,0.6400000,0.6401200,201
AUDUSD,5,20221003,005500,0.6401500,0.6403000,0.6400100,0.6401900,136
AUDUSD,5,20221003,010000,0.6401200,0.6403000,0.6398900,0.6398900,161
AUDUSD,5,20221003,010500,0.6400700,0.6409600,0.6398700,0.6406000,3910
AUDUSD,5,20221003,011000,0.6406200,0.6414400,0.6399000,0.6413200,3072
AUDUSD,5,20221003,011500,0.6413600,0.6419600,0.6407000,0.6416600,4307
AUDUSD,5,20221003,012000,0.6416800,0.6418300,0.6412000,0.6416900,4608
AUDUSD,5,20221003,012500,0.6417000,0.6420900,0.6413000,0.6419600,4291
AUDUSD,5,20221003,013000,0.6419800,0.6428400,0.6416000,0.6425800,6922
AUDUSD,5,20221003,013500,0.6425700,0.6426900,0.6417000,0.6422500,5682
AUDUSD,5,20221003,014000,0.6422400,0.6425500,0.6417000,0.6425000,4765
AUDUSD,5,20221003,014500,0.6424900,0.6426200,0.6419000,0.6425400,3923
AUDUSD,5,20221003,015000,0.6426200,0.6426300,0.6418000,0.6423400,3758
AUDUSD,5,20221003,015500,0.6423800,0.6424300,0.6417000,0.6421600,3852
AUDUSD,5,20221003,020000,0.6421400,0.6422200,0.6413000,0.6416200,5165
AUDUSD,5,20221003,020500,0.6416400,0.6418300,0.6410000,0.6414000,7072
AUDUSD,5,20221003,021000,0.6414100,0.6419600,0.6409000,0.6419100,5096
AUDUSD,5,20221003,021500,0.6419300,0.6421600,0.6414000,0.6420400,6204
AUDUSD,5,20221003,022000,0.6420000,0.6422700,0.6415000,0.6422400,4783
AUDUSD,5,20221003,022500,0.6422000,0.6426000,0.6418000,0.6422800,4612
AUDUSD,5,20221003,023000,0.6422800,0.6425500,0.6418000,0.6424500,5334
AUDUSD,5,20221003,023500,0.6424800,0.6427000,0.6420000,0.6426600,4565
AUDUSD,5,20221003,024000,0.6426400,0.6427300,0.6420000,0.6423500,3662
AUDUSD,5,20221003,024500,0.6424200,0.6426100,0.6420000,0.6424300,3900
AUDUSD,5,20221003,025000,0.6425100,0.6427000,0.6420000,0.6425200,4680
AUDUSD,5,20221003,025500,0.6425200,0.6426200,0.6415000,0.6419200,8560
AUDUSD,5,20221003,030000,0.6419600,0.6421000,0.6413000,0.6419500,7220
AUDUSD,5,20221003,030500,0.6419500,0.6420000,0.6408000,0.6414600,10507
AUDUSD,5,20221003,031000,0.6415000,0.6415200,0.6408000,0.6412200,7375
AUDUSD,5,20221003,031500,0.6412900,0.6417700,0.6409000,0.6415600,7931
AUDUSD,5,20221003,032000,0.6416300,0.6419400,0.6411000,0.6419100,8475
AUDUSD,5,20221003,032500,0.6419400,0.6423600,0.6411000,0.6423500,8874
AUDUSD,5,20221003,033000,0.6423300,0.6423800,0.6417000,0.6422000,5731
AUDUSD,5,20221003,033500,0.6421000,0.6424000,0.6418000,0.6422000,5850
AUDUSD,5,20221003,034000,0.6422400,0.6423600,0.6416000,0.6421400,6876
AUDUSD,5,20221003,034500,0.6421400,0.6424400,0.6418000,0.6421600,5978
AUDUSD,5,20221003,035000,0.6422000,0.6425400,0.6417000,0.6423800,5040
AUDUSD,5,20221003,035500,0.6423500,0.6424800,0.6417000,0.6423200,5935
AUDUSD,5,20221003,040000,0.6422900,0.6425300,0.6417000,0.6422000,7396
AUDUSD,5,20221003,040500,0.6422000,0.6428000,0.6419000,0.6426300,7539
AUDUSD,5,20221003,041000,0.6425800,0.6432200,0.6423000,0.6431600,7293
AUDUSD,5,20221003,041500,0.6431500,0.6433800,0.6427000,0.6432000,7521
AUDUSD,5,20221003,042000,0.6431900,0.6432500,0.6423000,0.6428800,8840
AUDUSD,5,20221003,042500,0.6429100,0.6432300,0.6424000,0.6431100,7671
AUDUSD,5,20221003,043000,0.6431600,0.6435700,0.6425000,0.6434500,8189
AUDUSD,5,20221003,043500,0.6434300,0.6437300,0.6430000,0.6434900,8158
