<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NZDUSD,5,20221001,000500,0.5595100,0.5595100,0.5594000,0.5594000,3
NZDUSD,5,20221002,190000,0.5594000,0.5594000,0.5594000,0.5594000,1
NZDUSD,5,20221002,190500,0.5594000,0.5594000,0.5594000,0.5594000,5
NZDUSD,5,20221002,191000,0.5594000,0.5594000,0.5594000,0.5594000,5
NZDUSD,5,20221002,191500,0.5594000,0.5594000,0.5594000,0.5594000,5
NZDUSD,5,20221002,192000,0.5594000,0.5594000,0.5594000,0.5594000,5
NZDUSD,5,20221002,192500,0.5594000,0.5594000,0.5594000,0.5594000,5
NZDUSD,5,20221002,193000,0.5594000,0.5594000,0.5594000,0.5594000,5
NZDUSD,5,20221002,193500,0.5594000,0.5594000,0.5594000,0.5594000,5
NZDUSD,5,20221002,194000,0.5594000,0.5594000,0.5594000,0.5594000,5
NZDUSD,5,20221002,194500,0.5594000,0.5594000,0.5594000,0.5594000,5
NZDUSD,5,20221002,195000,0.5594000,0.5594000,0.5594000,0.5594000,5
NZDUSD,5,20221002,195500,0.5594000,0.5594000,0.5594000,0.5594000,5
NZDUSD,5,20221002,200000,0.5594000,0.5594000,0.5594000,0.5594000,5
NZDUSD,5,20221002,200500,0.5594000,0.5594000,0.5594000,0.5594000,5
NZDUSD,5,20221002,201000,0.5594000,0.5594000,0.5594000,0.5594000,5
NZDUSD,5,20221002,201500,0.5594000,0.5594000,0.5594000,0.5594000,5
NZDUSD,5,20221002,202000,0.5594000,0.5594000,0.5594000,0.5594000,5
NZDUSD,5,20221002,202500,0.5594000,0.5594000,0.5594000,0.5594000,5
NZDUSD,5,20221002,203000,0.5594000,0.5594000,0.5594000,0.5594000,5
NZDUSD,5,20221002,203500,0.5594000,0.5594000,0.5594000,0.5594000,5
NZDUSD,5,20221002,204000,0.5594000,0.5594000,0.5594000,0.5594000,5
NZDUSD,5,20221002,204500,0.5594000,0.5594000,0.5594000,0.5594000,5
NZDUSD,5,20221002,205000,0.5594000,0.5594000,0.5594000,0.5594000,5
NZDUSD,5,20221002,205500,0.5594000,0.5594000,0.5594000,0.5594000,5
NZDUSD,5,20221002,210000,0.5594000,0.5594000,0.5594000,0.5594000,5
NZDUSD,5,20221002,222000,0.5600000,0.5600000,0.5600000,0.5600000,3
NZDUSD,5,20221002,222500,0.5602000,0.5602000,0.5600000,0.5600000,4
NZDUSD,5,20221002,223000,0.5597000,0.5597000,0.5597000,0.5597000,2
NZDUSD,5,20221002,224500,0.5596000,0.5596000,0.5596000,0.5596000,6
NZDUSD,5,20221002,225000,0.5595000,0.5597000,0.5595000,0.5597000,5
NZDUSD,5,20221002,225500,0.5597000,0.5598000,0.5597000,0.5597000,6
NZDUSD,5,20221002,230000,0.5597000,0.5597000,0.5597000,0.5597000,1
NZDUSD,5,20221002,231000,0.5602000,0.5602000,0.5598600,0.5601000,12
NZDUSD,5,20221002,231500,0.5599100,0.5601000,0.5599100,0.5601000,10
NZDUSD,5,20221002,232000,0.5601000,0.5601000,0.5600800,0.5601000,11
NZDUSD,5,20221002,232500,0.5601000,0.5601000,0.5600800,0.5601000,6
NZDUSD,5,20221002,233000,0.5601000,0.5601000,0.5590800,0.5591000,12
NZDUSD,5,20221002,233500,0.5592000,0.5593000,0.5592000,0.5593000,6
