<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RESULT,5,20221001,000500,0.08069003,0.08069003,0.0808,0.0808,-2.0
RESULT,5,20221002,190000,0.0808,0.0808,0.0808,0.0808,0.0
RESULT,5,20221002,190500,0.0808,0.0808,0.0808,0.0808,0.0
RESULT,5,20221002,191000,0.0808,0.0808,0.0808,0.0808,0.0
RESULT,5,20221002,191500,0.0808,0.0808,0.0808,0.0808,0.0
RESULT,5,20221002,192000,0.0808,0.0808,0.0808,0.0808,0.0
RESULT,5,20221002,192500,0.0808,0.0808,0.0808,0.0808,0.0
RESULT,5,20221002,193000,0.0808,0.0808,0.0808,0.0808,0.0
RESULT,5,20221002,193500,0.0808,0.0808,0.0808,0.0808,0.0
RESULT,5,20221002,194000,0.0808,0.0808,0.0808,0.0808,0.0
RESULT,5,20221002,194500,0.0808,0.0808,0.0808,0.0808,0.0
RESULT,5,20221002,195000,0.0808,0.0808,0.0808,0.0808,0.0
RESULT,5,20221002,195500,0.0808,0.0808,0.0808,0.0808,0.0
RESULT,5,20221002,200000,0.0808,0.0808,0.0808,0.0808,0.0
RESULT,5,20221002,200500,0.0808,0.0808,0.0808,0.0808,0.0
RESULT,5,20221002,201000,0.0808,0.0808,0.0808,0.0808,0.0
RESULT,5,20221002,201500,0.0808,0.0808,0.0808,0.0808,0.0
RESULT,5,20221002,202000,0.0808,0.0808,0.0808,0.0808,0.0
RESULT,5,20221002,202500,0.0808,0.0808,0.0808,0.0808,0.0
RESULT,5,20221002,203000,0.0808,0.0808,0.0808,0.0808,0.0
RESULT,5,20221002,203500,0.0808,0.0808,0.0808,0.0808,0.0
RESULT,5,20221002,204000,0.0808,0.0808,0.0808,0.0808,0.0
RESULT,5,20221002,204500,0.0808,0.0808,0.0808,0.0808,0.0
RESULT,5,20221002,205000,0.0808,0.0808,0.0808,0.0808,0.0
RESULT,5,20221002,205500,0.0808,0.0808,0.0808,0.0808,0.0
RESULT,5,20221002,210000,0.0808,0.0808,0.08029997,0.0808,1.0
RESULT,5,20221002,222000,0.08020002,0.08020002,0.08020002,0.08020002,-2.0
RESULT,5,20221003,000500,0.08073002,0.08067,0.08052999,0.08059001,51.0
RESULT,5,20221003,001000,0.079840004,0.08090997,0.080030024,0.08002001,92.0
RESULT,5,20221003,001500,0.08003998,0.07999003,0.08034998,0.080090046,-116.0
RESULT,5,20221003,002000,0.07988,0.079869986,0.08038002,0.08033997,-50.0
RESULT,5,20221003,002500,0.07988,0.07995999,0.08041,0.07999998,141.0
RESULT,5,20221003,003000,0.0801,0.08025998,0.08011001,0.08023,82.0
RESULT,5,20221003,003500,0.080250025,0.08020002,0.08004004,0.07989001,177.0
RESULT,5,20221003,004000,0.079980016,0.08012003,0.079980016,0.07988,389.0
